,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,No of Components,$\delta$,Δ$\chi$,ΔTm,Tm(K),VEC,AN,K,B,ΔB,G,ΔG,ΔSmix,$\lambda$,e_ij_max,total,crystal,crystal category
0,8.0,23.0,15.0,11.0,3.0,8.0,2.0,87.0,85.0,50.0,37.0,87.0,15.9994,50.9415,34.942099999999996,22.98855098,6.98915098,15.9994,54.8,2183.0,2128.2,439.35125,435.91218749999996,54.8,1.0,16.0,15.0,9.0,7.0,16.0,2.0,4.0,2.0,2.625,0.625,2.0,66.0,166.0,100.0,114.375,48.375,66.0,0.93,3.44,2.51,2.2725,1.1675,3.44,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,0.375,0.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,2.25,6.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,2.0,2.0,1.0,1.0,2.0,7.0,7.0,0.875,1.53125,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.25,1.1875,2.0,9.105,29.2433333333,20.1383333333,17.1449999999875,9.073749999984376,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,120.5,108.5,12.0,3,0.5905349905054627,1.187,675.083204472558,439.35125,4.0,11.0,56.38829,49.1425,0.9618496754885341,28.9875,0.687329938933495,8.1005,23.2283,1.1902299712350664,"[[0.0, 0.0, 0.0, 0.0, 0.383, 0.0], [0.0, 0.0, 0.0, 0.415, 0.0, 0.0], [0.5, 0.493, -0.961, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
1,8.0,51.0,43.0,19.22222222222222,14.962962962962965,8.0,49.0,87.0,38.0,81.77777777777777,7.679012345679016,87.0,15.9994,121.76,105.76060000000001,43.162499999999994,36.21746666666667,15.9994,54.8,2180.0,2125.2,435.29555555555555,507.3274074074074,54.8,6.0,16.0,10.0,14.555555555555555,2.0246913580246915,16.0,2.0,5.0,3.0,2.888888888888889,1.1851851851851853,2.0,66.0,139.0,73.0,90.33333333333333,32.44444444444444,66.0,1.66,3.44,1.78,2.923333333333334,0.6888888888888887,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,3.2222222222222223,1.037037037037037,4.0,0.0,10.0,10.0,2.7777777777777777,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,7.888888888888889,2.9382716049382718,6.0,0.0,1.0,1.0,0.1111111111111111,0.19753086419753085,0.0,0.0,4.0,4.0,2.111111111111111,0.617283950617284,2.0,5.0,5.0,0.5555555555555556,0.9876543209876544,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.7777777777777777,1.037037037037037,2.0,9.105,33.285,24.179999999999996,14.518333333333333,7.9574074074074055,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,67.55555555555556,74.07407407407408,12.0,4,0.5876254604813904,0.737,677.9874096358216,435.29555555555544,5.666666666666667,19.22222222222222,20.573275555555558,64.59555555555555,0.525915962828692,46.166666666666664,0.5708596123378561,8.3366,24.1428,0.0841426609990437,"[[0.0, 0.0, 0.0, 0.0, -0.047, 0.0], [0.0, 0.0, 0.0, -0.047, 0.0, 0.0], [-0.047, -0.047, 0.051, 0.0, 0.0, 0.0]]",HexTetra mm,CAT B
2,6.0,92.0,86.0,19.714285714285715,20.653061224489797,8.0,20.0,87.0,67.0,76.0,16.0,87.0,12.0107,238.02891,226.01821,47.14808714285714,54.53737795918367,15.9994,54.8,3823.0,3768.2,786.4285714285714,1045.1836734693877,54.8,3.0,16.0,13.0,13.857142857142858,3.10204081632653,16.0,2.0,7.0,5.0,2.7142857142857144,1.2244897959183676,2.0,66.0,196.0,130.0,86.0,31.428571428571427,66.0,1.38,3.44,2.06,3.0185714285714282,0.6020408163265307,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.142857142857143,1.2244897959183676,4.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367346,0.0,0.0,3.0,3.0,0.42857142857142855,0.7346938775510203,0.0,4.0,6.0,2.0,5.714285714285714,0.48979591836734687,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.5714285714285714,2.0,9.0,9.0,1.2857142857142858,2.2040816326530615,0.0,11.0,11.0,1.5714285714285714,2.693877551020408,2.0,20.0,18.0,4.857142857142857,4.326530612244897,2.0,5.64,20.025,14.384999999999998,10.17,2.815714285714285,9.105,0.0,4.496,4.496,0.6422857142857143,1.101061224489796,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,45.285714285714285,47.55102040816327,12.0,3,0.6364731358977203,0.7361,1316.9728317591964,782.7571428571428,5.285714285714286,19.714285714285715,23.876128571428573,57.25714285714286,0.3289813856081905,53.357142857142854,0.441039317810358,6.6205,16.343,0.5179982591669589,"[[0.0, 0.0, 0.0, 0.0, -0.09, 0.0], [0.0, 0.0, 0.0, 0.022, 0.0, 0.0], [0.381, 0.013, -0.35, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
3,8.0,17.0,9.0,10.347826086956522,2.4499054820415878,8.0,2.0,94.0,92.0,69.52173913043478,23.485822306238184,87.0,15.9994,35.453,19.4536,21.069825779130436,5.290879073875237,15.9994,54.8,1687.0,1632.2,442.3517391304348,452.80865784499053,54.8,1.0,17.0,16.0,12.782608695652174,4.098298676748582,16.0,2.0,3.0,1.0,2.4782608695652173,0.499054820415879,2.0,66.0,166.0,100.0,98.0,33.391304347826086,66.0,0.93,3.44,2.51,2.5517391304347825,0.9797731568998109,3.44,1.0,2.0,1.0,1.826086956521739,0.2873345935727789,2.0,0.0,5.0,5.0,2.6956521739130435,1.5614366729678637,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,4.521739130434782,1.7580340264650285,6.0,0.0,1.0,1.0,0.17391304347826086,0.2873345935727788,0.0,0.0,5.0,5.0,2.260869565217391,1.168241965973535,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.4347826086956523,1.0775047258979207,2.0,9.105,29.2433333333,20.1383333333,15.71699275361739,6.899470699426843,9.105,0.0,2.493,2.493,0.2092173913043478,0.3456635160680529,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,107.82608695652173,103.80340264650283,12.0,5,0.5813246204813374,1.0277,562.10553645976,442.3517391304348,4.521739130434782,10.347826086956522,74.57947217391303,52.044347826086955,0.5611058534235103,34.4,0.4486827639157001,10.9024,32.2616,0.20067,"[[0.0, 0.0, 0.0, 0.201, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.201, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.201]]",Cubic,CAT A
4,16.0,82.0,66.0,39.42857142857143,26.775510204081634,16.0,29.0,88.0,59.0,70.14285714285714,23.510204081632654,88.0,32.065,207.2,175.135,93.3301,70.01725714285715,32.065,388.36,1629.0,1240.6399999999999,773.15,489.0571428571428,388.36,3.0,16.0,13.0,12.0,5.142857142857143,16.0,3.0,6.0,3.0,4.285714285714286,1.4693877551020407,3.0,105.0,194.0,89.0,136.28571428571428,35.755102040816325,105.0,1.21,2.58,1.37,2.152857142857143,0.5387755102040817,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5714285714285716,1.6326530612244898,4.0,0.0,10.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,14.0,14.0,4.571428571428571,5.224489795918367,0.0,6.0,28.0,22.0,10.571428571428571,5.224489795918367,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.7142857142857142,0.9795918367346939,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.4285714285714286,2.0408163265306123,2.0,5.0,3.0,3.142857142857143,1.3061224489795917,2.0,25.786875,31.7366666667,5.949791666700001,27.818690476199997,2.3220748299428573,25.786875,0.0,2.202,2.202,1.2582857142857142,1.0785306122448979,2.202,0.0,0.0,0.0,0.0,70.0,225.0,155.0,127.57142857142857,65.79591836734694,70.0,3,0.4408943080036217,0.6515,546.0222225985207,773.15,4.857142857142857,39.42857142857143,8.26,22.028571428571425,0.7580100993037447,32.08571428571429,0.4484326472702321,7.9457,40.8755,0.656,"[[0.0, 0.0, 0.0, -0.656, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.562, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.562]]",Tetragonal -42m,CAT A
5,17.0,37.0,20.0,24.142857142857142,8.16326530612245,17.0,4.0,94.0,90.0,63.142857142857146,35.26530612244898,94.0,35.453,85.4678,50.014799999999994,53.09725642857143,20.164864489795914,35.453,171.6,1768.0,1596.4,439.90285714285716,379.4563265306123,171.6,1.0,17.0,16.0,11.285714285714286,6.530612244897959,17.0,3.0,5.0,2.0,3.7142857142857144,0.8163265306122449,3.0,102.0,220.0,118.0,139.14285714285714,46.204081632653065,102.0,0.82,3.16,2.3400000000000003,2.3085714285714287,0.973061224489796,3.16,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,5.0,5.0,2.857142857142857,2.4489795918367347,5.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,5.571428571428571,2.6122448979591835,7.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,1.0,1.0,0.5714285714285714,0.489795918367347,1.0,3.0,3.0,0.42857142857142855,0.7346938775510204,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.2857142857142858,0.489795918367347,1.0,10.245,90.7225,80.47749999999999,41.38285714285714,28.194081632653063,24.4975,0.0,2.493,2.493,1.4245714285714286,1.221061224489796,2.493,1.5484712,1.5484712,0.22121017142857144,0.3792174367346939,64.0,229.0,165.0,129.71428571428572,75.10204081632654,64.0,3,0.5700178785317668,1.0361,545.6674912622229,439.9028571428571,5.571428571428571,24.14285714285714,30.862228571428567,27.057142857142857,2.307769516764025,48.214285714285715,0.22680460581325723,7.9457,24.4543,0.6970677190919113,"[[0.0, 0.0, 0.0, 0.0, -0.009, 0.0], [0.0, 0.0, 0.0, -0.013, 0.0, 0.0], [0.454, 0.161, -0.504, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
6,7.0,23.0,16.0,11.333333333333334,4.333333333333333,7.0,46.0,82.0,36.0,71.33333333333333,10.666666666666666,82.0,14.0067,50.9415,36.934799999999996,23.595266666666664,9.588566666666665,14.0067,63.05,2183.0,2119.95,703.025,639.975,63.05,2.0,15.0,13.0,9.0,6.0,15.0,2.0,4.0,2.0,2.6666666666666665,0.6666666666666666,2.0,71.0,153.0,82.0,108.0,37.0,71.0,1.31,3.04,1.73,2.2283333333333335,0.8116666666666666,3.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,4.0,1.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,3.0,7.0,7.0,1.1666666666666667,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.6666666666666665,1.777777777777778,3.0,13.01,22.89,9.88,17.182708333333334,3.804861111111111,14.76875,0.0,6.437,6.437,3.2185,3.2185,6.437,0.0,0.0,0.0,0.0,194.0,229.0,35.0,199.83333333333334,9.722222222222229,194.0,3,0.47309787131276937,0.8186,765.4854672853038,703.025,4.0,11.333333333333332,58.51291499999999,68.44666666666666,0.6007957576724433,35.375,0.36872922737021036,8.4088,37.5693,1.9496395466341971,"[[0.0, 0.0, 0.0, 0.0, 0.234, 0.0], [0.0, 0.0, 0.0, 0.32, 0.0, 0.0], [0.632, 0.702, -1.706, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
7,1.0,15.0,14.0,7.333333333333333,4.222222222222222,9.0,83.0,93.0,10.0,91.0,2.6666666666666665,93.0,1.00794,30.973762,29.965822,14.997475266666667,9.326356844444444,18.9984032,14.01,317.3,303.29,84.30333333333333,77.66555555555554,53.5,1.0,17.0,16.0,11.333333333333334,6.888888888888889,17.0,1.0,3.0,2.0,1.8333333333333333,0.5555555555555555,2.0,31.0,107.0,76.0,56.666666666666664,17.11111111111111,57.0,2.19,3.98,1.79,3.0883333333333334,0.8916666666666666,3.98,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,5.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,4.666666666666667,2.444444444444444,7.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.3333333333333333,0.5555555555555555,1.0,6.615,22.5702380952,15.9552380952,10.8204563492,3.916593915333334,9.7075,1.625,7.853,6.228,3.8735,2.653,1.97,0.0,0.0,0.0,0.0,2.0,194.0,192.0,72.5,81.0,15.0,3,0.36089878620507654,0.8917,105.68092297361694,84.31833333333333,4.666666666666666,7.333333333333334,0.11334999999999999,46.46666666666667,0.34134524075463074,43.75,0.0,8.4088,64.5601,0.218025911443558,"[[-0.095, 0.07, 0.183, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.01], [0.0, 0.0, 0.0, 0.0, -0.007, 0.0]]",Orthorhombic mm2,CAT B
8,16.0,56.0,40.0,26.0,15.0,16.0,9.0,88.0,79.0,68.25,29.625,88.0,32.065,137.327,105.262,58.3805,39.47325,32.065,388.36,1000.0,611.64,541.27,229.36499999999998,388.36,2.0,16.0,14.0,12.5,5.25,16.0,3.0,6.0,3.0,3.75,1.125,3.0,105.0,215.0,110.0,132.5,41.25,105.0,0.89,2.58,1.69,2.1575,0.6337499999999999,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,5.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.75,2.0,25.786875,63.59,37.80312500000001,35.23765625,14.176171875000001,25.786875,0.0,2.202,2.202,1.6515,0.82575,2.202,0.0,0.0,0.0,0.0,70.0,229.0,159.0,109.75,59.625,70.0,2,0.552782172628365,0.7318,264.84788898535703,541.27,5.0,26.0,4.65375,8.175,0.10063903774865031,34.0375,0.49423557748109354,4.6753,15.3002,0.41852,"[[0.0, 0.0, 0.0, 0.419, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.332, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.332]]",Tetragonal -42m,CAT A
9,13.0,56.0,43.0,18.333333333333332,6.277777777777778,16.0,9.0,88.0,79.0,76.41666666666667,13.513888888888888,88.0,26.9815386,137.327,110.3454614,39.1423462,16.364108966666667,32.065,388.36,1000.0,611.64,621.0333333333333,271.45222222222225,388.36,2.0,16.0,14.0,13.833333333333334,2.5277777777777777,16.0,3.0,6.0,3.0,3.25,0.4583333333333333,3.0,105.0,215.0,110.0,119.5,16.916666666666668,105.0,0.89,2.58,1.69,2.1158333333333332,0.5415277777777777,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.5555555555555554,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.666666666666667,1.5555555555555556,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8333333333333335,1.4444444444444446,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8333333333333335,1.4444444444444446,2.0,16.48,63.59,47.11,25.834843749999994,6.292526041666663,25.786875,0.0,2.202,2.202,1.2845,1.0704166666666666,2.202,0.0,0.0,0.0,0.0,70.0,229.0,159.0,134.91666666666666,75.73611111111111,70.0,3,0.40065983643338504,0.5798,275.8382040053352,621.0333333333333,4.666666666666667,18.333333333333336,79.95291666666667,30.625,1.0478064325744447,34.59583333333333,0.3504558442779914,7.3803,45.975,0.36962,"[[0.0, 0.0, 0.0, 0.0, 0.172, 0.0], [0.0, 0.0, 0.0, 0.37, 0.0, 0.0], [0.259, 0.228, 0.037, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
10,15.0,47.0,32.0,29.0,15.0,47.0,65.0,94.0,29.0,79.0,11.666666666666666,65.0,30.973762,107.8682,76.89443800000001,64.12339683333333,36.45400263888889,107.8682,171.6,1234.93,1063.3300000000002,699.0491666666668,446.5673611111111,1234.93,11.0,17.0,6.0,14.0,2.5,11.0,3.0,5.0,2.0,3.8333333333333335,0.9722222222222223,5.0,102.0,145.0,43.0,121.33333333333333,19.72222222222222,145.0,1.93,3.16,1.2300000000000002,2.3733333333333335,0.4000000000000001,1.93,1.0,2.0,1.0,1.5833333333333333,0.48611111111111116,1.0,0.0,5.0,5.0,2.4166666666666665,2.013888888888889,0.0,0.0,10.0,10.0,4.166666666666667,4.861111111111112,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,8.166666666666666,2.361111111111111,11.0,0.0,1.0,1.0,0.4166666666666667,0.486111111111111,1.0,0.0,3.0,3.0,1.0833333333333333,0.9305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.5833333333333334,1.0,16.33,25.786875,9.456875,21.36356150793333,4.194634589944445,16.33,0.0,2.493,2.493,1.2849166666666667,1.0707638888888888,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,127.91666666666667,80.90277777777779,225.0,4,0.32489151687189033,0.4495,458.6293023684512,699.0491666666668,8.166666666666668,29.0,179.25615000000002,45.333333333333336,1.0208264629149966,38.02083333333333,0.17829281538108438,10.2818,97.4075,1.3951499999999997,"[[0.0, 0.0, 0.0, 0.0, 1.395, 0.0], [0.0, 0.0, 0.0, 0.006, 0.0, 0.0], [-0.045, 0.402, 0.219, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
11,3.0,51.0,48.0,19.333333333333332,21.11111111111111,3.0,1.0,85.0,84.0,51.0,33.333333333333336,1.0,6.941,121.76,114.819,45.904394,50.570403999999996,6.941,453.69,1560.0,1106.31,972.4900000000001,391.67333333333335,453.69,1.0,15.0,14.0,6.0,6.0,1.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,96.0,139.0,43.0,121.0,16.666666666666668,96.0,0.98,2.05,1.0699999999999998,1.5333333333333332,0.3688888888888889,0.98,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,7.89,31.56,23.669999999999998,18.681111111099998,8.585925925933333,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.33333333333334,21.777777777777782,166.0,3,0.1650128459396459,0.4376,454.2548859396011,972.49,2.6666666666666665,19.333333333333332,99.66666666666666,60.99999999999999,0.8263119049902317,52.06666666666666,1.0926044666985766,9.1339,335.4432,0.7724630488897322,"[[0.0, 0.0, 0.0, 0.0, -0.081, 0.0], [0.0, 0.0, 0.0, -0.081, 0.0, 0.0], [0.233, 0.233, -0.699, 0.0, 0.0, 0.0]]",HexTetra mm,CAT B
12,1.0,19.0,18.0,8.5,4.25,8.0,3.0,92.0,89.0,77.25,18.5625,87.0,1.00794,39.0983,38.090360000000004,17.01069275,9.012669125000002,15.9994,14.01,336.53,322.52,112.63125,107.141875,54.8,1.0,16.0,15.0,10.25,6.9375,16.0,1.0,4.0,3.0,2.125,0.6875,2.0,31.0,203.0,172.0,79.5,37.75,66.0,0.82,3.44,2.62,2.64625,0.79375,3.44,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,4.0,4.0,2.375,1.78125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,2.25,6.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,3.0,3.0,1.375,1.03125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.75,0.5625,2.0,6.615,73.1066666667,66.4916666667,18.165863095237498,14.836294642856247,9.105,0.0,7.853,7.853,2.166375,2.8433124999999997,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,83.375,91.71875,12.0,4,0.7973161723436593,0.8987,124.9250091492392,112.63125,4.0,8.5,12.587915,41.932500000000005,0.4825858127827545,38.44375,0.3651833625579316,10.0849,15.864,0.1687028811253679,"[[0.0, 0.0, 0.0, 0.0, 0.015, 0.0], [0.0, 0.0, 0.0, -0.041, 0.0, 0.0], [-0.07, -0.112, 0.105, 0.0, 0.0, 0.0]]",Orthorhombic mm2,CAT B
13,8.0,51.0,43.0,20.666666666666668,16.88888888888889,8.0,47.0,87.0,40.0,80.0,11.0,87.0,15.9994,121.76,105.76060000000001,46.44399666666666,40.592795555555554,15.9994,54.8,2750.0,2695.2,645.4966666666666,787.5955555555556,54.8,5.0,16.0,11.0,14.0,3.0,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,164.0,98.0,94.5,38.0,66.0,1.6,3.44,1.8399999999999999,2.901666666666667,0.7177777777777777,3.44,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,10.0,10.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,7.333333333333333,2.5555555555555554,6.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,6.0,6.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.0,1.3333333333333333,2.0,9.105,31.56,22.455,14.36,7.006666666666665,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,73.83333333333333,82.44444444444444,12.0,3,0.6709210730219025,0.7723,990.9031880338034,645.4966666666667,5.666666666666666,20.666666666666664,13.01772,71.03999999999999,0.6258038347287294,38.83333333333333,0.2235264662660908,7.2129,16.0239,8.088503480786787,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.133], [4.437, 0.362, 6.753, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.658, 0.0, 0.0]]",Orthorhombic mm2,CAT B
